go_term	hit_rows	unique_proteins
GO:0008195(InterPro)	11	9
GO:0042073(InterPro)	10	9
GO:0000151(PANTHER)	9	9
GO:0000245(PANTHER)	9	9
GO:0000288(PANTHER)	9	9
GO:0000390(PANTHER)	9	9
GO:0000422(PANTHER)	9	9
GO:0000470(PANTHER)	9	9
GO:0000793(PANTHER)	9	9
GO:0000976(PANTHER)	9	9
GO:0001653(PANTHER)	9	9
GO:0002189(PANTHER)	9	9
GO:0003700(PANTHER)	9	9
GO:0003985(PANTHER)	9	9
GO:0003989(PANTHER)	9	9
GO:0003994(PANTHER)	9	9
GO:0004366(PANTHER)	9	9
GO:0004527(InterPro)	9	9
GO:0004642(PANTHER)	9	9
GO:0004693(PANTHER)	9	9
GO:0004749(PANTHER)	9	9
GO:0004829(PANTHER)	9	9
GO:0005049(PANTHER)	9	9
GO:0005245(PANTHER)	9	9
GO:0005484(InterPro)	9	9
GO:0005684(PANTHER)	9	9
GO:0005758(PANTHER)	9	9
GO:0005782(PANTHER)	9	9
GO:0005856(PANTHER)	9	9
GO:0006015(PANTHER)	9	9
GO:0006086(InterPro)	9	9
GO:0006102(PANTHER)	9	9
GO:0006182(PANTHER)	9	9
GO:0006284(PANTHER)	9	9
GO:0006402(PANTHER)	9	9
GO:0006435(PANTHER)	9	9
GO:0006513(PANTHER)	9	9
GO:0006541(PANTHER)	9	9
GO:0006572(PANTHER)	9	9
GO:0006614(PANTHER)	9	9
GO:0006896(PANTHER)	9	9
GO:0007062(PANTHER)	9	9
GO:0007168(PANTHER)	9	9
GO:0008278(PANTHER)	9	9
GO:0008654(PANTHER)	9	9
GO:0012507(PANTHER)	9	9
GO:0015914(InterPro)	9	9
GO:0016209(InterPro)	9	9
GO:0016255(PANTHER)	9	9
GO:0016559(PANTHER)	9	9
GO:0017119(PANTHER)	9	9
GO:0017168(PANTHER)	9	9
GO:0019878(PANTHER)	9	9
GO:0030036(PANTHER)	9	9
GO:0030134(PANTHER)	9	9
GO:0030154(PANTHER)	9	9
GO:0030317(InterPro)	9	9
GO:0030623(PANTHER)	9	9
GO:0030674(PANTHER)	9	9
GO:0030915(PANTHER)	9	9
GO:0031123(PANTHER)	9	9
GO:0031124(InterPro)	9	9
GO:0031145(PANTHER)	9	9
GO:0031573(PANTHER)	9	9
GO:0032153(PANTHER)	9	9
GO:0032446(PANTHER)	9	9
GO:0032958(PANTHER)	9	9
GO:0034515(PANTHER)	9	9
GO:0034599(PANTHER)	9	9
GO:0035869(PANTHER)	9	9
GO:0042765(PANTHER)	9	9
GO:0042802(PANTHER)	9	9
GO:0043625(PANTHER)	9	9
GO:0044208(PANTHER)	9	9
GO:0045454(PANTHER)	9	9
GO:0046512(PANTHER)	9	9
GO:0046653(PANTHER)	9	9
GO:0048312(PANTHER)	9	9
GO:0051016(PANTHER)	9	9
GO:0052742(PANTHER)	9	9
GO:0070180(PANTHER)	9	9
GO:0090630(PANTHER)	9	9
GO:0097730(PANTHER)	9	9
GO:0140326(InterPro)	9	9
GO:0140658(PANTHER)	9	9
GO:0070006(InterPro)	56	8
GO:0042555(InterPro)	32	8
GO:0006821(InterPro)	31	8
GO:0015108(InterPro)	31	8
GO:0005885(InterPro)	30	8
GO:0006979(InterPro)	30	8
GO:0009073(InterPro)	30	8
GO:0016868(InterPro)	30	8
GO:0034314(InterPro)	30	8
GO:0055129(InterPro)	29	8
GO:0006072(InterPro)	27	8
GO:0004177(InterPro)	24	8
GO:0016538(InterPro)	24	8
GO:0003746(InterPro)	23	8
GO:0008312(InterPro)	23	8
GO:0051537(InterPro)	22	8
GO:0043087(InterPro)	21	8
GO:0019346(InterPro)	20	8
GO:0005856(InterPro)	17	8
GO:0005869(InterPro)	16	8
GO:0008137(InterPro)	16	8
GO:0015693(InterPro)	16	8
GO:0006644(InterPro)	15	8
GO:0046785(InterPro)	15	8
GO:0006415(InterPro)	14	8
GO:0006325(InterPro)	13	8
GO:0016255(InterPro)	12	8
GO:0016773(InterPro)	12	8
GO:0016779(InterPro)	12	8
GO:0003713(InterPro)	11	8
GO:0006887(InterPro)	11	8
GO:0007076(InterPro)	11	8
GO:0006897(InterPro)	10	8
GO:0008652(InterPro)	10	8
GO:0030014(InterPro)	10	8
GO:0000162(InterPro)	9	8
GO:0000178(InterPro)	9	8
GO:0000028(PANTHER)	8	8
GO:0000030(PANTHER)	8	8
GO:0000077(PANTHER)	8	8
GO:0000122(PANTHER)	8	8
GO:0000127(PANTHER)	8	8
GO:0000723(PANTHER)	8	8
GO:0001731(PANTHER)	8	8
GO:0002098(PANTHER)	8	8
GO:0003689(PANTHER)	8	8
GO:0004331(PANTHER)	8	8
GO:0004439(PANTHER)	8	8
GO:0004449(PANTHER)	8	8
GO:0004725(PANTHER)	8	8
GO:0004753(PANTHER)	8	8
GO:0004826(PANTHER)	8	8
GO:0005262(PANTHER)	8	8
GO:0005516(PANTHER)	8	8
GO:0005658(PANTHER)	8	8
GO:0005675(PANTHER)	8	8
GO:0005750(PANTHER)	8	8
GO:0005851(PANTHER)	8	8
GO:0005869(PANTHER)	8	8
GO:0005881(PANTHER)	8	8
GO:0006006(PANTHER)	8	8
GO:0006122(PANTHER)	8	8
GO:0006264(PANTHER)	8	8
GO:0006432(PANTHER)	8	8
GO:0006493(PANTHER)	8	8
GO:0006620(PANTHER)	8	8
GO:0006635(InterPro)	8	8
GO:0006646(PANTHER)	8	8
GO:0006892(PANTHER)	8	8
GO:0008033(PANTHER)	8	8
GO:0008202(PANTHER)	8	8
GO:0008289(PANTHER)	8	8
GO:0008643(PANTHER)	8	8
GO:0015095(PANTHER)	8	8
GO:0015693(PANTHER)	8	8
GO:0015986(PANTHER)	8	8
GO:0016018(PANTHER)	8	8
GO:0016197(PANTHER)	8	8
GO:0016279(PANTHER)	8	8
GO:0016779(PANTHER)	8	8
GO:0016925(PANTHER)	8	8
GO:0018024(PANTHER)	8	8
GO:0018026(PANTHER)	8	8
GO:0030148(PANTHER)	8	8
GO:0031491(PANTHER)	8	8
GO:0031902(PANTHER)	8	8
GO:0032508(PANTHER)	8	8
GO:0034551(PANTHER)	8	8
GO:0034968(PANTHER)	8	8
GO:0034975(PANTHER)	8	8
GO:0034982(PANTHER)	8	8
GO:0035269(PANTHER)	8	8
GO:0035735(PANTHER)	8	8
GO:0036159(PANTHER)	8	8
GO:0042744(PANTHER)	8	8
GO:0042761(PANTHER)	8	8
GO:0043495(PANTHER)	8	8
GO:0043928(PANTHER)	8	8
GO:0046961(PANTHER)	8	8
GO:0047617(PANTHER)	8	8
GO:0048240(PANTHER)	8	8
GO:0048278(PANTHER)	8	8
GO:0050667(PANTHER)	8	8
GO:0051123(PANTHER)	8	8
GO:0051604(InterPro)	8	8
GO:0052689(PANTHER)	8	8
GO:0061512(PANTHER)	8	8
GO:0070403(PANTHER)	8	8
GO:0070816(PANTHER)	8	8
GO:0071006(PANTHER)	8	8
GO:0071541(PANTHER)	8	8
GO:0072546(PANTHER)	8	8
GO:0097157(PANTHER)	8	8
GO:1990481(PANTHER)	8	8
GO:0003918(InterPro)	48	7
GO:0004420(InterPro)	33	7
GO:0006779(InterPro)	33	7
GO:0015935(InterPro)	26	7
GO:0015936(InterPro)	26	7
GO:0016614(InterPro)	24	7
GO:0019773(InterPro)	24	7
GO:0006284(InterPro)	21	7
GO:0009298(InterPro)	19	7
GO:0030976(InterPro)	19	7
GO:0006122(InterPro)	18	7
GO:0006744(InterPro)	17	7
GO:0016651(InterPro)	15	7
GO:0019915(InterPro)	15	7
GO:0030008(InterPro)	15	7
GO:0004332(InterPro)	14	7
GO:0004659(InterPro)	14	7
GO:0009082(InterPro)	14	7
GO:0015631(InterPro)	14	7
GO:0004512(InterPro)	13	7
GO:0006021(InterPro)	13	7
GO:0008380(InterPro)	12	7
GO:0016409(InterPro)	12	7
GO:0022625(InterPro)	11	7
GO:0030036(InterPro)	11	7
GO:0031369(InterPro)	11	7
GO:0000124(InterPro)	10	7
GO:0003712(InterPro)	10	7
GO:0000009(InterPro)	9	7
GO:0003747(InterPro)	9	7
GO:0005758(InterPro)	8	7
GO:0006259(InterPro)	8	7
GO:0000002(PANTHER)	7	7
GO:0000014(PANTHER)	7	7
GO:0000056(PANTHER)	7	7
GO:0000324(PANTHER)	7	7
GO:0000408(PANTHER)	7	7
GO:0000472(PANTHER)	7	7
GO:0000480(PANTHER)	7	7
GO:0000794(PANTHER)	7	7
GO:0000815(PANTHER)	7	7
GO:0000819(PANTHER)	7	7
GO:0000922(PANTHER)	7	7
GO:0000938(InterPro)	7	7
GO:0002143(PANTHER)	7	7
GO:0003727(PANTHER)	7	7
GO:0003756(PANTHER)	7	7
GO:0003841(PANTHER)	7	7
GO:0003987(PANTHER)	7	7
GO:0004144(PANTHER)	7	7
GO:0004151(PANTHER)	7	7
GO:0004169(PANTHER)	7	7
GO:0004174(PANTHER)	7	7
GO:0004489(PANTHER)	7	7
GO:0004739(PANTHER)	7	7
GO:0004809(PANTHER)	7	7
GO:0004815(PANTHER)	7	7
GO:0004818(PANTHER)	7	7
GO:0004820(PANTHER)	7	7
GO:0005267(PANTHER)	7	7
GO:0005315(PANTHER)	7	7
GO:0005324(PANTHER)	7	7
GO:0005663(PANTHER)	7	7
GO:0005664(PANTHER)	7	7
GO:0005685(PANTHER)	7	7
GO:0005740(PANTHER)	7	7
GO:0005786(PANTHER)	7	7
GO:0005787(PANTHER)	7	7
GO:0005868(InterPro)	7	7
GO:0005884(PANTHER)	7	7
GO:0005967(PANTHER)	7	7
GO:0006002(PANTHER)	7	7
GO:0006120(PANTHER)	7	7
GO:0006383(PANTHER)	7	7
GO:0006422(PANTHER)	7	7
GO:0006424(PANTHER)	7	7
GO:0006426(PANTHER)	7	7
GO:0006644(PANTHER)	7	7
GO:0006829(InterPro)	7	7
GO:0007019(PANTHER)	7	7
GO:0008104(PANTHER)	7	7
GO:0008173(PANTHER)	7	7
GO:0008175(PANTHER)	7	7
GO:0008180(PANTHER)	7	7
GO:0008250(PANTHER)	7	7
GO:0008299(PANTHER)	7	7
GO:0008324(PANTHER)	7	7
GO:0008379(PANTHER)	7	7
GO:0008380(PANTHER)	7	7
GO:0008381(PANTHER)	7	7
GO:0008574(PANTHER)	7	7
GO:0008861(PANTHER)	7	7
GO:0009099(PANTHER)	7	7
GO:0009328(PANTHER)	7	7
GO:0010008(PANTHER)	7	7
GO:0015910(PANTHER)	7	7
GO:0015934(PANTHER)	7	7
GO:0016104(InterPro)	7	7
GO:0016125(PANTHER)	7	7
GO:0016272(PANTHER)	7	7
GO:0016460(PANTHER)	7	7
GO:0016593(PANTHER)	7	7
GO:0016849(InterPro)	7	7
GO:0018279(PANTHER)	7	7
GO:0019240(PANTHER)	7	7
GO:0019509(PANTHER)	7	7
GO:0019887(PANTHER)	7	7
GO:0030003(PANTHER)	7	7
GO:0030015(InterPro)	7	7
GO:0030497(PANTHER)	7	7
GO:0031080(PANTHER)	7	7
GO:0031167(PANTHER)	7	7
GO:0031207(PANTHER)	7	7
GO:0031932(PANTHER)	7	7
GO:0032300(InterPro)	7	7
GO:0032300(PANTHER)	7	7
GO:0032543(InterPro)	7	7
GO:0033314(PANTHER)	7	7
GO:0034058(PANTHER)	7	7
GO:0034221(PANTHER)	7	7
GO:0034455(PANTHER)	7	7
GO:0034511(InterPro)	7	7
GO:0035064(PANTHER)	7	7
GO:0035925(PANTHER)	7	7
GO:0042760(PANTHER)	7	7
GO:0043001(PANTHER)	7	7
GO:0045047(PANTHER)	7	7
GO:0045252(PANTHER)	7	7
GO:0051156(PANTHER)	7	7
GO:0051537(PANTHER)	7	7
GO:0051666(PANTHER)	7	7
GO:0060294(PANTHER)	7	7
GO:0061025(PANTHER)	7	7
GO:0070012(PANTHER)	7	7
GO:0070125(PANTHER)	7	7
GO:0070286(InterPro)	7	7
GO:0070286(PANTHER)	7	7
GO:0070577(PANTHER)	7	7
GO:0072344(PANTHER)	7	7
GO:0098703(PANTHER)	7	7
GO:1904262(PANTHER)	7	7
GO:1990112(PANTHER)	7	7
GO:1990189(PANTHER)	7	7
GO:1990414(PANTHER)	7	7
GO:1990423(PANTHER)	7	7
GO:1990817(InterPro)	7	7
GO:1990817(PANTHER)	7	7
GO:0016743(InterPro)	52	6
GO:0033014(InterPro)	50	6
GO:0016597(InterPro)	38	6
GO:0004601(InterPro)	33	6
GO:0004825(InterPro)	32	6
GO:0006366(InterPro)	28	6
GO:0006189(InterPro)	24	6
GO:0000077(InterPro)	23	6
GO:0006003(InterPro)	23	6
GO:0007010(InterPro)	20	6
GO:0009231(InterPro)	19	6
GO:0004828(InterPro)	17	6
GO:0006434(InterPro)	17	6
GO:0009116(InterPro)	17	6
GO:0016423(InterPro)	17	6
GO:0031072(InterPro)	17	6
GO:0033617(InterPro)	16	6
GO:0004185(InterPro)	15	6
GO:0015385(InterPro)	14	6
GO:0046034(InterPro)	14	6
GO:0097367(InterPro)	14	6
GO:1901135(InterPro)	14	6
GO:0016702(InterPro)	13	6
GO:0030150(InterPro)	13	6
GO:0031515(InterPro)	13	6
GO:0001671(InterPro)	12	6
GO:0016043(InterPro)	12	6
GO:0003725(InterPro)	11	6
GO:0004190(InterPro)	11	6
GO:0004474(InterPro)	11	6
GO:0005760(InterPro)	11	6
GO:0006097(InterPro)	11	6
GO:0006406(InterPro)	11	6
GO:0006488(InterPro)	11	6
GO:0006914(InterPro)	10	6
GO:0007023(InterPro)	10	6
GO:0009922(InterPro)	10	6
GO:0048487(InterPro)	10	6
GO:0000139(InterPro)	9	6
GO:0000796(InterPro)	9	6
GO:0004605(InterPro)	9	6
GO:0006302(InterPro)	9	6
GO:0008253(InterPro)	9	6
GO:0031625(InterPro)	9	6
GO:0000724(InterPro)	8	6
GO:0004329(InterPro)	8	6
GO:0006891(InterPro)	8	6
GO:0017025(InterPro)	8	6
GO:0017119(InterPro)	8	6
GO:0030515(InterPro)	8	6
GO:0003871(InterPro)	7	6
GO:0017150(InterPro)	7	6
GO:0000009(PANTHER)	6	6
GO:0000030(InterPro)	6	6
GO:0000064(PANTHER)	6	6
GO:0000104(PANTHER)	6	6
GO:0000110(PANTHER)	6	6
GO:0000159(PANTHER)	6	6
GO:0000250(PANTHER)	6	6
GO:0000266(PANTHER)	6	6
GO:0000811(PANTHER)	6	6
GO:0001405(PANTHER)	6	6
GO:0001508(PANTHER)	6	6
GO:0001669(PANTHER)	6	6
GO:0002188(PANTHER)	6	6
GO:0002926(PANTHER)	6	6
GO:0003725(PANTHER)	6	6
GO:0003779(PANTHER)	6	6
GO:0003873(InterPro)	6	6
GO:0003873(PANTHER)	6	6
GO:0003906(PANTHER)	6	6
GO:0003941(PANTHER)	6	6
GO:0003959(InterPro)	6	6
GO:0004177(PANTHER)	6	6
GO:0004430(PANTHER)	6	6
GO:0004474(PANTHER)	6	6
GO:0004485(PANTHER)	6	6
GO:0004620(PANTHER)	6	6
GO:0004721(PANTHER)	6	6
GO:0004758(PANTHER)	6	6
GO:0004792(PANTHER)	6	6
GO:0004794(PANTHER)	6	6
GO:0004822(PANTHER)	6	6
GO:0004825(PANTHER)	6	6
GO:0005351(PANTHER)	6	6
GO:0005765(PANTHER)	6	6
GO:0005788(PANTHER)	6	6
GO:0005871(PANTHER)	6	6
GO:0005875(PANTHER)	6	6
GO:0005891(PANTHER)	6	6
GO:0005902(PANTHER)	6	6
GO:0005956(PANTHER)	6	6
GO:0006000(InterPro)	6	6
GO:0006003(PANTHER)	6	6
GO:0006020(PANTHER)	6	6
GO:0006048(PANTHER)	6	6
GO:0006072(PANTHER)	6	6
GO:0006097(PANTHER)	6	6
GO:0006266(PANTHER)	6	6
GO:0006283(PANTHER)	6	6
GO:0006302(PANTHER)	6	6
GO:0006312(PANTHER)	6	6
GO:0006383(InterPro)	6	6
GO:0006405(PANTHER)	6	6
GO:0006417(PANTHER)	6	6
GO:0006428(PANTHER)	6	6
GO:0006431(PANTHER)	6	6
GO:0006491(PANTHER)	6	6
GO:0006526(PANTHER)	6	6
GO:0006548(PANTHER)	6	6
GO:0006552(PANTHER)	6	6
GO:0006565(PANTHER)	6	6
GO:0006574(PANTHER)	6	6
GO:0006611(InterPro)	6	6
GO:0006665(PANTHER)	6	6
GO:0006695(PANTHER)	6	6
GO:0006751(PANTHER)	6	6
GO:0006817(PANTHER)	6	6
GO:0006879(InterPro)	6	6
GO:0006895(PANTHER)	6	6
GO:0007021(PANTHER)	6	6
GO:0007062(InterPro)	6	6
GO:0007064(InterPro)	6	6
GO:0008076(InterPro)	6	6
GO:0008080(PANTHER)	6	6
GO:0008081(PANTHER)	6	6
GO:0008097(PANTHER)	6	6
GO:0008177(PANTHER)	6	6
GO:0008278(InterPro)	6	6
GO:0008296(PANTHER)	6	6
GO:0008331(PANTHER)	6	6
GO:0008408(PANTHER)	6	6
GO:0008705(PANTHER)	6	6
GO:0008716(InterPro)	6	6
GO:0008716(PANTHER)	6	6
GO:0009060(PANTHER)	6	6
GO:0009062(PANTHER)	6	6
GO:0009082(PANTHER)	6	6
GO:0009098(PANTHER)	6	6
GO:0009267(PANTHER)	6	6
GO:0009306(PANTHER)	6	6
GO:0009972(PANTHER)	6	6
GO:0010997(InterPro)	6	6
GO:0010997(PANTHER)	6	6
GO:0015031(PANTHER)	6	6
GO:0015184(PANTHER)	6	6
GO:0015630(PANTHER)	6	6
GO:0015811(PANTHER)	6	6
GO:0015918(PANTHER)	6	6
GO:0016042(PANTHER)	6	6
GO:0016126(InterPro)	6	6
GO:0016236(PANTHER)	6	6
GO:0016298(PANTHER)	6	6
GO:0016616(PANTHER)	6	6
GO:0016829(InterPro)	6	6
GO:0016926(PANTHER)	6	6
GO:0017136(PANTHER)	6	6
GO:0019905(PANTHER)	6	6
GO:0030001(PANTHER)	6	6
GO:0030060(PANTHER)	6	6
GO:0030136(PANTHER)	6	6
GO:0030145(PANTHER)	6	6
GO:0030242(PANTHER)	6	6
GO:0030276(InterPro)	6	6
GO:0030332(PANTHER)	6	6
GO:0030956(PANTHER)	6	6
GO:0030992(InterPro)	6	6
GO:0031515(PANTHER)	6	6
GO:0031624(PANTHER)	6	6
GO:0031929(InterPro)	6	6
GO:0032266(PANTHER)	6	6
GO:0033188(PANTHER)	6	6
GO:0033254(PANTHER)	6	6
GO:0034271(PANTHER)	6	6
GO:0034272(PANTHER)	6	6
GO:0034976(PANTHER)	6	6
GO:0035082(InterPro)	6	6
GO:0035082(PANTHER)	6	6
GO:0036158(PANTHER)	6	6
GO:0036503(InterPro)	6	6
GO:0038203(PANTHER)	6	6
GO:0042274(PANTHER)	6	6
GO:0043021(PANTHER)	6	6
GO:0043139(PANTHER)	6	6
GO:0043190(InterPro)	6	6
GO:0043409(PANTHER)	6	6
GO:0043539(InterPro)	6	6
GO:0043539(PANTHER)	6	6
GO:0043565(PANTHER)	6	6
GO:0043812(PANTHER)	6	6
GO:0044027(PANTHER)	6	6
GO:0045003(PANTHER)	6	6
GO:0045039(PANTHER)	6	6
GO:0045116(PANTHER)	6	6
GO:0045292(InterPro)	6	6
GO:0046839(PANTHER)	6	6
GO:0046873(PANTHER)	6	6
GO:0047184(PANTHER)	6	6
GO:0047493(PANTHER)	6	6
GO:0048029(PANTHER)	6	6
GO:0050567(PANTHER)	6	6
GO:0051119(InterPro)	6	6
GO:0051131(PANTHER)	6	6
GO:0070210(PANTHER)	6	6
GO:0070531(PANTHER)	6	6
GO:0070681(PANTHER)	6	6
GO:0071933(PANTHER)	6	6
GO:0072583(PANTHER)	6	6
GO:0090522(InterPro)	6	6
GO:0097027(InterPro)	6	6
GO:0097361(PANTHER)	6	6
GO:0097428(PANTHER)	6	6
GO:0097546(PANTHER)	6	6
GO:0097550(PANTHER)	6	6
GO:0098789(PANTHER)	6	6
GO:1903461(PANTHER)	6	6
GO:1904668(InterPro)	6	6
GO:1905786(PANTHER)	6	6
GO:1990575(PANTHER)	6	6
GO:1990757(PANTHER)	6	6
GO:1990918(PANTHER)	6	6
GO:0006094(InterPro)	38	5
GO:0019538(InterPro)	35	5
GO:0006006(InterPro)	26	5
GO:0004109(InterPro)	25	5
GO:0004488(InterPro)	25	5
GO:0048500(InterPro)	21	5
GO:0019888(InterPro)	20	5
GO:0030833(InterPro)	20	5
GO:0006526(InterPro)	19	5
GO:0006750(InterPro)	18	5
GO:0008897(InterPro)	18	5
GO:0016310(InterPro)	18	5
GO:0006801(InterPro)	17	5
GO:0019211(InterPro)	17	5
GO:0004045(InterPro)	15	5
GO:0006241(InterPro)	15	5
GO:0004368(InterPro)	14	5
GO:0004834(InterPro)	14	5
GO:0006221(InterPro)	14	5
GO:0009086(InterPro)	14	5
GO:0004619(InterPro)	13	5
GO:0005787(InterPro)	12	5
GO:0051276(InterPro)	12	5
GO:0070897(InterPro)	12	5
GO:0000221(InterPro)	11	5
GO:0004609(InterPro)	11	5
GO:0006207(InterPro)	11	5
GO:0017183(InterPro)	11	5
GO:0046540(InterPro)	11	5
GO:0000001(InterPro)	10	5
GO:0003849(InterPro)	10	5
GO:0004017(InterPro)	10	5
GO:0004489(InterPro)	10	5
GO:0004651(InterPro)	10	5
GO:0006555(InterPro)	10	5
GO:0033180(InterPro)	10	5
GO:0006432(InterPro)	9	5
GO:0008612(InterPro)	9	5
GO:0010945(InterPro)	9	5
GO:0004359(InterPro)	8	5
GO:0004826(InterPro)	8	5
GO:0006480(InterPro)	8	5
GO:0016274(InterPro)	8	5
GO:0018216(InterPro)	8	5
GO:0032049(InterPro)	8	5
GO:0005047(InterPro)	7	5
GO:0006007(InterPro)	7	5
GO:0006546(InterPro)	7	5
GO:0006751(InterPro)	7	5
GO:0009085(InterPro)	7	5
GO:0045277(InterPro)	7	5
GO:0004411(InterPro)	6	5
GO:0006388(InterPro)	6	5
GO:0006559(InterPro)	6	5
GO:0006570(InterPro)	6	5
GO:0009098(InterPro)	6	5
GO:0015074(InterPro)	6	5
GO:0015079(InterPro)	6	5
GO:0045254(InterPro)	6	5
GO:0051377(InterPro)	6	5
GO:0071805(InterPro)	6	5
GO:0120029(InterPro)	6	5
GO:0000107(PANTHER)	5	5
GO:0000136(PANTHER)	5	5
GO:0000175(InterPro)	5	5
GO:0000178(PANTHER)	5	5
GO:0000184(PANTHER)	5	5
GO:0000381(PANTHER)	5	5
GO:0000423(PANTHER)	5	5
GO:0000439(PANTHER)	5	5
GO:0000466(PANTHER)	5	5
GO:0000492(PANTHER)	5	5
GO:0000776(PANTHER)	5	5
GO:0000828(PANTHER)	5	5
GO:0000829(InterPro)	5	5
GO:0000829(PANTHER)	5	5
GO:0001006(PANTHER)	5	5
GO:0002183(PANTHER)	5	5
GO:0002940(PANTHER)	5	5
GO:0003691(PANTHER)	5	5
GO:0003714(PANTHER)	5	5
GO:0003878(PANTHER)	5	5
GO:0003886(PANTHER)	5	5
GO:0003904(PANTHER)	5	5
GO:0003954(InterPro)	5	5
GO:0004018(PANTHER)	5	5
GO:0004033(PANTHER)	5	5
GO:0004069(PANTHER)	5	5
GO:0004160(PANTHER)	5	5
GO:0004190(PANTHER)	5	5
GO:0004301(PANTHER)	5	5
GO:0004345(PANTHER)	5	5
GO:0004352(PANTHER)	5	5
GO:0004359(PANTHER)	5	5
GO:0004411(PANTHER)	5	5
GO:0004527(PANTHER)	5	5
GO:0004712(PANTHER)	5	5
GO:0004740(PANTHER)	5	5
GO:0004742(PANTHER)	5	5
GO:0004748(PANTHER)	5	5
GO:0004749(InterPro)	5	5
GO:0004775(PANTHER)	5	5
GO:0004802(PANTHER)	5	5
GO:0004806(InterPro)	5	5
GO:0004834(PANTHER)	5	5
GO:0004888(InterPro)	5	5
GO:0005198(PANTHER)	5	5
GO:0005227(PANTHER)	5	5
GO:0005247(PANTHER)	5	5
GO:0005543(PANTHER)	5	5
GO:0005544(InterPro)	5	5
GO:0005544(PANTHER)	5	5
GO:0005657(PANTHER)	5	5
GO:0005687(PANTHER)	5	5
GO:0005688(PANTHER)	5	5
GO:0005744(PANTHER)	5	5
GO:0005764(PANTHER)	5	5
GO:0005776(PANTHER)	5	5
GO:0005813(PANTHER)	5	5
GO:0005819(PANTHER)	5	5
GO:0005885(PANTHER)	5	5
GO:0005978(PANTHER)	5	5
GO:0006098(PANTHER)	5	5
GO:0006107(PANTHER)	5	5
GO:0006116(PANTHER)	5	5
GO:0006189(PANTHER)	5	5
GO:0006221(PANTHER)	5	5
GO:0006360(PANTHER)	5	5
GO:0006384(InterPro)	5	5
GO:0006396(PANTHER)	5	5
GO:0006398(PANTHER)	5	5
GO:0006401(InterPro)	5	5
GO:0006449(PANTHER)	5	5
GO:0006450(InterPro)	5	5
GO:0006490(PANTHER)	5	5
GO:0006509(PANTHER)	5	5
GO:0006538(PANTHER)	5	5
GO:0006564(PANTHER)	5	5
GO:0006654(PANTHER)	5	5
GO:0006784(PANTHER)	5	5
GO:0006814(PANTHER)	5	5
GO:0006914(PANTHER)	5	5
GO:0007064(PANTHER)	5	5
GO:0008023(PANTHER)	5	5
GO:0008154(PANTHER)	5	5
GO:0008160(PANTHER)	5	5
GO:0008198(PANTHER)	5	5
GO:0008235(InterPro)	5	5
GO:0008253(PANTHER)	5	5
GO:0008295(PANTHER)	5	5
GO:0008312(PANTHER)	5	5
GO:0008474(PANTHER)	5	5
GO:0008569(PANTHER)	5	5
GO:0008821(PANTHER)	5	5
GO:0009051(PANTHER)	5	5
GO:0009073(PANTHER)	5	5
GO:0009156(InterPro)	5	5
GO:0009228(PANTHER)	5	5
GO:0009249(PANTHER)	5	5
GO:0009423(PANTHER)	5	5
GO:0009653(PANTHER)	5	5
GO:0009898(PANTHER)	5	5
GO:0010133(PANTHER)	5	5
GO:0010424(PANTHER)	5	5
GO:0010506(InterPro)	5	5
GO:0010906(PANTHER)	5	5
GO:0015035(PANTHER)	5	5
GO:0015108(PANTHER)	5	5
GO:0015149(PANTHER)	5	5
GO:0015299(PANTHER)	5	5
GO:0015377(InterPro)	5	5
GO:0015616(PANTHER)	5	5
GO:0015662(PANTHER)	5	5
GO:0015749(PANTHER)	5	5
GO:0015914(PANTHER)	5	5
GO:0015937(PANTHER)	5	5
GO:0016035(InterPro)	5	5
GO:0016035(PANTHER)	5	5
GO:0016153(PANTHER)	5	5
GO:0016192(PANTHER)	5	5
GO:0016281(PANTHER)	5	5
GO:0016287(PANTHER)	5	5
GO:0016558(PANTHER)	5	5
GO:0016559(InterPro)	5	5
GO:0016604(PANTHER)	5	5
GO:0016651(PANTHER)	5	5
GO:0016805(PANTHER)	5	5
GO:0016846(PANTHER)	5	5
GO:0016853(InterPro)	5	5
GO:0017102(PANTHER)	5	5
GO:0017183(PANTHER)	5	5
GO:0019287(PANTHER)	5	5
GO:0019346(PANTHER)	5	5
GO:0019441(PANTHER)	5	5
GO:0019464(PANTHER)	5	5
GO:0019511(PANTHER)	5	5
GO:0019888(PANTHER)	5	5
GO:0019915(PANTHER)	5	5
GO:0019985(InterPro)	5	5
GO:0030125(PANTHER)	5	5
GO:0030163(InterPro)	5	5
GO:0030286(PANTHER)	5	5
GO:0030388(PANTHER)	5	5
GO:0030896(PANTHER)	5	5
GO:0030897(PANTHER)	5	5
GO:0030968(PANTHER)	5	5
GO:0030983(PANTHER)	5	5
GO:0031119(PANTHER)	5	5
GO:0031428(PANTHER)	5	5
GO:0031436(PANTHER)	5	5
GO:0031499(PANTHER)	5	5
GO:0031543(PANTHER)	5	5
GO:0031929(PANTHER)	5	5
GO:0031932(InterPro)	5	5
GO:0032049(PANTHER)	5	5
GO:0032051(PANTHER)	5	5
GO:0032299(PANTHER)	5	5
GO:0032389(PANTHER)	5	5
GO:0032541(PANTHER)	5	5
GO:0032807(PANTHER)	5	5
GO:0032865(PANTHER)	5	5
GO:0032922(PANTHER)	5	5
GO:0032968(PANTHER)	5	5
