go_term	hit_rows	unique_proteins
GO:0004222(PANTHER)	31	31
GO:0005802(PANTHER)	31	31
GO:0035556(InterPro)	117	30
GO:0042254(InterPro)	45	30
GO:0005216(InterPro)	39	30
GO:0000049(PANTHER)	30	30
GO:0018105(PANTHER)	30	30
GO:0005743(InterPro)	59	29
GO:0006635(PANTHER)	29	29
GO:0006810(PANTHER)	29	29
GO:0006886(PANTHER)	29	29
GO:0006890(PANTHER)	29	29
GO:0030488(PANTHER)	29	29
GO:0007017(InterPro)	215	28
GO:0003755(InterPro)	150	28
GO:0006520(InterPro)	93	28
GO:0005874(PANTHER)	28	28
GO:0006364(PANTHER)	28	28
GO:0006606(PANTHER)	28	28
GO:0006891(PANTHER)	28	28
GO:0007015(PANTHER)	28	28
GO:0036503(PANTHER)	28	28
GO:0006470(InterPro)	68	27
GO:0016620(InterPro)	53	27
GO:0046982(InterPro)	49	27
GO:0008289(InterPro)	46	27
GO:0004553(InterPro)	34	27
GO:0005777(PANTHER)	27	27
GO:0012505(PANTHER)	27	27
GO:0032543(PANTHER)	27	27
GO:0008081(InterPro)	89	26
GO:0046961(InterPro)	66	26
GO:0051287(InterPro)	57	26
GO:0005739(InterPro)	47	26
GO:0004888(PANTHER)	26	26
GO:0004965(InterPro)	26	26
GO:0005747(PANTHER)	26	26
GO:0038039(PANTHER)	26	26
GO:0043130(PANTHER)	26	26
GO:0045944(PANTHER)	26	26
GO:0005874(InterPro)	197	25
GO:0003774(InterPro)	86	25
GO:0016459(InterPro)	84	25
GO:0007264(InterPro)	82	25
GO:0005096(InterPro)	80	25
GO:0006289(InterPro)	62	25
GO:0006888(InterPro)	45	25
GO:0000932(PANTHER)	25	25
GO:0002181(PANTHER)	25	25
GO:0003690(PANTHER)	25	25
GO:0004197(InterPro)	25	25
GO:0005681(PANTHER)	25	25
GO:0005929(PANTHER)	25	25
GO:0006413(PANTHER)	25	25
GO:0006893(PANTHER)	25	25
GO:0051082(PANTHER)	25	25
GO:0015031(InterPro)	42	24
GO:0071949(InterPro)	38	24
GO:0006812(InterPro)	34	24
GO:0005852(InterPro)	33	24
GO:0006357(InterPro)	28	24
GO:0005768(PANTHER)	24	24
GO:0007005(PANTHER)	24	24
GO:0007018(PANTHER)	24	24
GO:0009086(PANTHER)	24	24
GO:0015629(PANTHER)	24	24
GO:0016791(PANTHER)	24	24
GO:0031267(PANTHER)	24	24
GO:0071011(PANTHER)	24	24
GO:0015986(InterPro)	68	23
GO:0004519(InterPro)	56	23
GO:0016311(InterPro)	44	23
GO:0005839(InterPro)	39	23
GO:0051603(InterPro)	39	23
GO:0005789(InterPro)	36	23
GO:0000145(PANTHER)	23	23
GO:0000974(PANTHER)	23	23
GO:0003899(PANTHER)	23	23
GO:0006270(PANTHER)	23	23
GO:0006487(PANTHER)	23	23
GO:0007030(PANTHER)	23	23
GO:0030170(PANTHER)	23	23
GO:0042393(PANTHER)	23	23
GO:0043022(PANTHER)	23	23
GO:0044255(PANTHER)	23	23
GO:0006096(InterPro)	134	22
GO:0006139(InterPro)	83	22
GO:0019843(InterPro)	82	22
GO:0000160(InterPro)	60	22
GO:0003678(InterPro)	51	22
GO:0003887(InterPro)	50	22
GO:0008233(InterPro)	50	22
GO:0016740(InterPro)	30	22
GO:0003755(PANTHER)	22	22
GO:0006749(PANTHER)	22	22
GO:0000413(InterPro)	113	21
GO:0009190(InterPro)	95	21
GO:0006413(InterPro)	67	21
GO:0008033(InterPro)	38	21
GO:0005886(InterPro)	24	21
GO:0008641(InterPro)	23	21
GO:0005681(InterPro)	22	21
GO:0000045(PANTHER)	21	21
GO:0000175(PANTHER)	21	21
GO:0003724(PANTHER)	21	21
GO:0005388(PANTHER)	21	21
GO:0006289(PANTHER)	21	21
GO:0006297(PANTHER)	21	21
GO:0006355(PANTHER)	21	21
GO:0006470(PANTHER)	21	21
GO:0008094(PANTHER)	21	21
GO:0008195(PANTHER)	21	21
GO:0016485(PANTHER)	21	21
GO:0030126(PANTHER)	21	21
GO:0030515(PANTHER)	21	21
GO:0009166(InterPro)	138	20
GO:0006298(InterPro)	83	20
GO:0031267(InterPro)	45	20
GO:0005777(InterPro)	37	20
GO:0005730(InterPro)	35	20
GO:0016567(InterPro)	32	20
GO:0030117(InterPro)	21	20
GO:0000226(PANTHER)	20	20
GO:0006164(PANTHER)	20	20
GO:0006261(PANTHER)	20	20
GO:0006298(PANTHER)	20	20
GO:0006367(PANTHER)	20	20
GO:0030992(PANTHER)	20	20
GO:0042073(PANTHER)	20	20
GO:0042147(PANTHER)	20	20
GO:0044877(PANTHER)	20	20
GO:0140664(InterPro)	20	20
GO:1902600(PANTHER)	20	20
GO:0006265(InterPro)	104	19
GO:0001522(InterPro)	54	19
GO:0051539(InterPro)	44	19
GO:0050661(InterPro)	38	19
GO:0007034(InterPro)	37	19
GO:0043022(InterPro)	36	19
GO:0016757(InterPro)	23	19
GO:0046873(InterPro)	23	19
GO:0030001(InterPro)	22	19
GO:0000176(PANTHER)	19	19
GO:0000463(PANTHER)	19	19
GO:0000727(PANTHER)	19	19
GO:0003341(PANTHER)	19	19
GO:0003684(PANTHER)	19	19
GO:0005763(PANTHER)	19	19
GO:0006096(PANTHER)	19	19
GO:0006506(PANTHER)	19	19
GO:0010468(PANTHER)	19	19
GO:0017101(PANTHER)	19	19
GO:0031201(PANTHER)	19	19
GO:0032934(PANTHER)	19	19
GO:0046856(PANTHER)	19	19
GO:0055088(PANTHER)	19	19
GO:0035091(InterPro)	73	18
GO:0030983(InterPro)	70	18
GO:0016765(InterPro)	37	18
GO:0006310(InterPro)	31	18
GO:0005198(InterPro)	23	18
GO:0032549(InterPro)	19	18
GO:0000146(PANTHER)	18	18
GO:0003995(PANTHER)	18	18
GO:0004521(PANTHER)	18	18
GO:0004965(PANTHER)	18	18
GO:0005484(PANTHER)	18	18
GO:0005509(PANTHER)	18	18
GO:0005525(PANTHER)	18	18
GO:0005635(PANTHER)	18	18
GO:0006272(PANTHER)	18	18
GO:0006412(PANTHER)	18	18
GO:0006631(PANTHER)	18	18
GO:0007214(PANTHER)	18	18
GO:0016251(PANTHER)	18	18
GO:0030127(PANTHER)	18	18
GO:0031122(PANTHER)	18	18
GO:0045504(PANTHER)	18	18
GO:0046513(PANTHER)	18	18
GO:0070006(PANTHER)	18	18
GO:0071949(PANTHER)	18	18
GO:0009982(InterPro)	60	17
GO:0006352(InterPro)	52	17
GO:0000105(InterPro)	48	17
GO:0010181(InterPro)	46	17
GO:0005694(InterPro)	41	17
GO:0006813(InterPro)	40	17
GO:0003684(InterPro)	31	17
GO:0003697(InterPro)	28	17
GO:0140358(InterPro)	18	17
GO:0000307(PANTHER)	17	17
GO:0004364(PANTHER)	17	17
GO:0005669(PANTHER)	17	17
GO:0005774(PANTHER)	17	17
GO:0005858(PANTHER)	17	17
GO:0005868(PANTHER)	17	17
GO:0006287(PANTHER)	17	17
GO:0006633(PANTHER)	17	17
GO:0007052(PANTHER)	17	17
GO:0033617(PANTHER)	17	17
GO:0034511(PANTHER)	17	17
GO:0043087(PANTHER)	17	17
GO:0043171(PANTHER)	17	17
GO:0045004(PANTHER)	17	17
GO:0045332(PANTHER)	17	17
GO:0046540(PANTHER)	17	17
GO:0070971(PANTHER)	17	17
GO:0071805(PANTHER)	17	17
GO:0004181(InterPro)	93	16
GO:0005200(InterPro)	88	16
GO:0046912(InterPro)	64	16
GO:0009451(InterPro)	49	16
GO:0008061(InterPro)	47	16
GO:0008483(InterPro)	33	16
GO:0006631(InterPro)	32	16
GO:0016810(InterPro)	31	16
GO:0008654(InterPro)	28	16
GO:0032040(InterPro)	19	16
GO:0003729(InterPro)	18	16
GO:0000209(PANTHER)	16	16
GO:0003678(PANTHER)	16	16
GO:0003777(PANTHER)	16	16
GO:0004181(PANTHER)	16	16
GO:0004842(PANTHER)	16	16
GO:0005654(PANTHER)	16	16
GO:0005666(PANTHER)	16	16
GO:0005682(PANTHER)	16	16
GO:0005741(PANTHER)	16	16
GO:0005938(PANTHER)	16	16
GO:0006366(PANTHER)	16	16
GO:0007059(PANTHER)	16	16
GO:0007189(PANTHER)	16	16
GO:0008374(PANTHER)	16	16
GO:0016311(PANTHER)	16	16
GO:0019843(PANTHER)	16	16
GO:0030150(PANTHER)	16	16
GO:0030479(PANTHER)	16	16
GO:0035721(PANTHER)	16	16
GO:0042273(PANTHER)	16	16
GO:0046854(PANTHER)	16	16
GO:0090110(PANTHER)	16	16
GO:0140326(PANTHER)	16	16
GO:0004518(InterPro)	40	15
GO:0043039(InterPro)	37	15
GO:0004386(InterPro)	19	15
GO:0060271(InterPro)	19	15
GO:0008569(InterPro)	16	15
GO:0000712(PANTHER)	15	15
GO:0001664(PANTHER)	15	15
GO:0003688(PANTHER)	15	15
GO:0004016(PANTHER)	15	15
GO:0004519(PANTHER)	15	15
GO:0005221(InterPro)	15	15
GO:0005665(PANTHER)	15	15
GO:0005811(PANTHER)	15	15
GO:0006260(PANTHER)	15	15
GO:0006627(PANTHER)	15	15
GO:0006629(PANTHER)	15	15
GO:0007076(PANTHER)	15	15
GO:0015631(PANTHER)	15	15
GO:0017070(PANTHER)	15	15
GO:0022627(PANTHER)	15	15
GO:0030490(PANTHER)	15	15
GO:0031505(PANTHER)	15	15
GO:0031593(PANTHER)	15	15
GO:0034427(PANTHER)	15	15
GO:0042276(PANTHER)	15	15
GO:0042277(PANTHER)	15	15
GO:0045943(PANTHER)	15	15
GO:0071007(PANTHER)	15	15
GO:0072686(PANTHER)	15	15
GO:1990573(PANTHER)	15	15
GO:0000981(InterPro)	60	14
GO:0008173(InterPro)	47	14
GO:0004114(InterPro)	45	14
GO:0006367(InterPro)	43	14
GO:0006414(InterPro)	28	14
GO:0019901(InterPro)	28	14
GO:0015934(InterPro)	25	14
GO:0008757(InterPro)	24	14
GO:0043015(InterPro)	23	14
GO:0002098(InterPro)	21	14
GO:0006397(InterPro)	21	14
GO:0008324(InterPro)	21	14
GO:0006606(InterPro)	18	14
GO:0006974(InterPro)	17	14
GO:0008374(InterPro)	16	14
GO:0006890(InterPro)	15	14
GO:0032259(InterPro)	15	14
GO:0000177(PANTHER)	14	14
GO:0000460(PANTHER)	14	14
GO:0003333(PANTHER)	14	14
GO:0003746(PANTHER)	14	14
GO:0004722(InterPro)	14	14
GO:0005227(InterPro)	14	14
GO:0005249(PANTHER)	14	14
GO:0005385(PANTHER)	14	14
GO:0005391(PANTHER)	14	14
GO:0005736(PANTHER)	14	14
GO:0005770(PANTHER)	14	14
GO:0005815(InterPro)	14	14
GO:0005975(PANTHER)	14	14
GO:0006406(PANTHER)	14	14
GO:0006518(PANTHER)	14	14
GO:0006656(PANTHER)	14	14
GO:0006883(PANTHER)	14	14
GO:0006974(PANTHER)	14	14
GO:0007020(PANTHER)	14	14
GO:0007165(PANTHER)	14	14
GO:0015179(PANTHER)	14	14
GO:0016746(PANTHER)	14	14
GO:0017056(PANTHER)	14	14
GO:0017116(PANTHER)	14	14
GO:0019432(PANTHER)	14	14
GO:0030007(PANTHER)	14	14
GO:0033588(PANTHER)	14	14
GO:0034727(PANTHER)	14	14
GO:0036128(PANTHER)	14	14
GO:0036376(PANTHER)	14	14
GO:0042555(PANTHER)	14	14
GO:0051087(PANTHER)	14	14
GO:0051321(PANTHER)	14	14
GO:0051539(PANTHER)	14	14
GO:1902975(PANTHER)	14	14
GO:1905515(PANTHER)	14	14
GO:1990904(PANTHER)	14	14
GO:0030527(InterPro)	76	13
GO:0000786(InterPro)	68	13
GO:0032012(InterPro)	55	13
GO:0003917(InterPro)	50	13
GO:0016226(InterPro)	36	13
GO:0046856(InterPro)	32	13
GO:0030127(InterPro)	30	13
GO:0003910(InterPro)	29	13
GO:0016818(InterPro)	29	13
GO:0000079(InterPro)	26	13
GO:0005783(InterPro)	26	13
GO:0036211(InterPro)	24	13
GO:0006633(InterPro)	23	13
GO:0006099(InterPro)	21	13
GO:0007020(InterPro)	21	13
GO:0000049(InterPro)	17	13
GO:0000145(InterPro)	17	13
GO:0042147(InterPro)	17	13
GO:0008094(InterPro)	14	13
GO:0000226(InterPro)	13	13
GO:0000413(PANTHER)	13	13
GO:0000922(InterPro)	13	13
GO:0000993(PANTHER)	13	13
GO:0001510(PANTHER)	13	13
GO:0003713(PANTHER)	13	13
GO:0005618(InterPro)	13	13
GO:0005643(PANTHER)	13	13
GO:0005686(PANTHER)	13	13
GO:0005815(PANTHER)	13	13
GO:0005834(PANTHER)	13	13
GO:0006094(PANTHER)	13	13
GO:0006303(PANTHER)	13	13
GO:0006378(PANTHER)	13	13
GO:0006865(PANTHER)	13	13
GO:0006906(PANTHER)	13	13
GO:0007265(PANTHER)	13	13
GO:0008168(PANTHER)	13	13
GO:0008622(InterPro)	13	13
GO:0008622(PANTHER)	13	13
GO:0009982(PANTHER)	13	13
GO:0015171(PANTHER)	13	13
GO:0016538(PANTHER)	13	13
GO:0016874(InterPro)	13	13
GO:0018107(PANTHER)	13	13
GO:0030317(PANTHER)	13	13
GO:0031369(PANTHER)	13	13
GO:0031514(PANTHER)	13	13
GO:0031966(PANTHER)	13	13
GO:0034388(PANTHER)	13	13
GO:0034475(PANTHER)	13	13
GO:0036128(InterPro)	13	13
GO:0043015(PANTHER)	13	13
GO:0051225(PANTHER)	13	13
GO:0051231(PANTHER)	13	13
GO:0051286(PANTHER)	13	13
GO:0051603(PANTHER)	13	13
GO:0070588(PANTHER)	13	13
GO:0071014(PANTHER)	13	13
GO:0019001(InterPro)	108	12
GO:0031683(InterPro)	108	12
GO:0006614(InterPro)	49	12
GO:0009055(InterPro)	47	12
GO:0046933(InterPro)	46	12
GO:0003997(InterPro)	26	12
GO:0006506(InterPro)	25	12
GO:0043169(InterPro)	25	12
GO:0002161(InterPro)	24	12
GO:0009435(InterPro)	24	12
GO:0015297(InterPro)	22	12
GO:0043130(InterPro)	22	12
GO:0015078(InterPro)	21	12
GO:0003714(InterPro)	20	12
GO:0005643(InterPro)	20	12
GO:0007005(InterPro)	19	12
GO:0003989(InterPro)	15	12
GO:0000124(PANTHER)	12	12
GO:0000162(PANTHER)	12	12
GO:0000287(PANTHER)	12	12
GO:0000467(PANTHER)	12	12
GO:0000930(PANTHER)	12	12
GO:0000956(PANTHER)	12	12
GO:0001054(PANTHER)	12	12
GO:0001055(PANTHER)	12	12
GO:0003712(PANTHER)	12	12
GO:0003917(PANTHER)	12	12
GO:0004467(PANTHER)	12	12
GO:0005769(PANTHER)	12	12
GO:0005793(PANTHER)	12	12
GO:0005814(PANTHER)	12	12
GO:0005847(PANTHER)	12	12
GO:0006085(PANTHER)	12	12
GO:0006121(PANTHER)	12	12
GO:0006265(PANTHER)	12	12
GO:0006465(PANTHER)	12	12
GO:0006559(PANTHER)	12	12
GO:0006623(PANTHER)	12	12
GO:0006783(PANTHER)	12	12
GO:0006882(PANTHER)	12	12
GO:0006979(PANTHER)	12	12
GO:0007131(PANTHER)	12	12
GO:0008233(PANTHER)	12	12
GO:0009055(PANTHER)	12	12
GO:0009097(PANTHER)	12	12
GO:0015935(PANTHER)	12	12
GO:0016075(PANTHER)	12	12
GO:0016175(PANTHER)	12	12
GO:0016780(InterPro)	12	12
GO:0017150(PANTHER)	12	12
GO:0030544(InterPro)	12	12
GO:0030688(PANTHER)	12	12
GO:0031683(PANTHER)	12	12
GO:0033615(PANTHER)	12	12
GO:0034198(PANTHER)	12	12
GO:0045503(PANTHER)	12	12
GO:0048188(PANTHER)	12	12
GO:0051011(PANTHER)	12	12
GO:0070628(PANTHER)	12	12
GO:0071035(PANTHER)	12	12
GO:0071038(PANTHER)	12	12
GO:0071051(PANTHER)	12	12
GO:1904263(PANTHER)	12	12
GO:0001510(InterPro)	44	11
GO:0006164(InterPro)	44	11
GO:0030145(InterPro)	43	11
GO:0006465(InterPro)	34	11
GO:0004827(InterPro)	33	11
GO:0006433(InterPro)	33	11
GO:0004176(InterPro)	32	11
GO:0006308(InterPro)	32	11
GO:0051015(InterPro)	32	11
GO:0051087(InterPro)	28	11
GO:0008299(InterPro)	22	11
GO:0003995(InterPro)	19	11
GO:0005669(InterPro)	19	11
GO:0015095(InterPro)	19	11
GO:0016624(InterPro)	17	11
GO:0033588(InterPro)	17	11
GO:0009101(InterPro)	15	11
GO:0005778(InterPro)	13	11
GO:0007166(InterPro)	12	11
GO:0016866(InterPro)	12	11
GO:0030126(InterPro)	12	11
GO:0000105(PANTHER)	11	11
GO:0000209(InterPro)	11	11
GO:0000244(PANTHER)	11	11
GO:0000479(PANTHER)	11	11
GO:0000796(PANTHER)	11	11
GO:0000977(PANTHER)	11	11
GO:0001056(PANTHER)	11	11
GO:0001676(PANTHER)	11	11
GO:0003997(PANTHER)	11	11
GO:0004553(PANTHER)	11	11
GO:0004672(PANTHER)	11	11
GO:0004722(PANTHER)	11	11
GO:0004827(PANTHER)	11	11
GO:0005504(PANTHER)	11	11
GO:0005680(PANTHER)	11	11
GO:0005771(PANTHER)	11	11
GO:0005852(PANTHER)	11	11
GO:0006086(PANTHER)	11	11
GO:0006207(PANTHER)	11	11
GO:0006268(PANTHER)	11	11
GO:0006273(PANTHER)	11	11
GO:0006338(InterPro)	11	11
GO:0006368(PANTHER)	11	11
GO:0006414(PANTHER)	11	11
GO:0006433(PANTHER)	11	11
GO:0006611(PANTHER)	11	11
GO:0006696(PANTHER)	11	11
GO:0006744(PANTHER)	11	11
GO:0006879(PANTHER)	11	11
GO:0006900(PANTHER)	11	11
GO:0008310(PANTHER)	11	11
GO:0008540(PANTHER)	11	11
GO:0009435(PANTHER)	11	11
GO:0015248(PANTHER)	11	11
GO:0015421(PANTHER)	11	11
GO:0016126(PANTHER)	11	11
GO:0016226(PANTHER)	11	11
GO:0016717(PANTHER)	11	11
GO:0016755(InterPro)	11	11
GO:0019005(PANTHER)	11	11
GO:0031146(PANTHER)	11	11
GO:0032456(PANTHER)	11	11
GO:0032511(PANTHER)	11	11
GO:0032981(PANTHER)	11	11
